Date,Weekday,Month,TrainNo,TrainType,Direction,TripLine,StationID,StopSeq,ScheduledArr,FirstDep,LastArr,Period,IsHoliday,HolidayType,IsTerminal,RunMin,StationClass,SideTrackCount,IsDouble,MixIndex,SpeedDiff,PrevDelay,DelayTime,IsDelayed,IsDelayed_Research,StationName
2026-03-01,,,1267,區間,1,1.0,3160,39.0,23:52,20:37,23:52,離峰,1,週末,1,5.0,,,,2.0,6.0,0.0,0,0,0,苗栗
2026-03-01,,,1268,區間,0,1.0,0900,39.0,22:26,19:01,22:26,離峰,1,週末,1,5.0,,,,2.0,5.0,4.0,1,0,0,基隆
2026-03-01,,,127,自強,1,1.0,3360,8.0,16:35,14:02,16:35,離峰,1,週末,1,13.0,,,,4.0,40.0,0.0,0,0,0,彰化
2026-03-01,,,1271,區間,1,0.0,1210,32.0,23:51,21:27,23:51,離峰,1,週末,1,4.0,,,,2.0,3.0,0.0,0,0,0,新竹
2026-03-01,,,1272,區間,0,0.0,0900,32.0,23:18,20:35,23:18,離峰,1,週末,1,5.0,,,,1.0,0.0,0.0,1,0,0,基隆
2026-03-01,,,1273,區間,1,0.0,1210,32.0,23:26,21:01,23:26,離峰,1,週末,1,4.0,,,,2.0,3.0,1.0,2,0,1,新竹
2026-03-01,,,1274,區間,0,0.0,0900,27.0,22:42,20:15,22:42,離峰,1,週末,1,5.0,,,,2.0,5.0,0.0,0,0,0,基隆
2026-03-01,,,1276,區間,0,0.0,0900,15.0,23:03,21:58,23:03,離峰,1,週末,1,5.0,,,,1.0,0.0,1.0,0,0,0,基隆
2026-03-01,,,1278,區間,0,1.0,0900,39.0,23:33,20:11,23:33,離峰,1,週末,1,5.0,,,,1.0,0.0,1.0,0,0,0,基隆
2026-03-01,,,128,自強,0,1.0,0900,27.0,19:17,12:48,19:17,尖峰,1,週末,1,7.0,,,,2.0,2.0,3.0,0,0,0,基隆
2026-03-01,,,1280,區間,0,0.0,7360,24.0,23:49,21:54,23:49,離峰,1,週末,1,7.0,,,,2.0,32.0,0.0,0,0,0,瑞芳
