StationID,AvgDelay,DelayRate,TotalObs,StationName
6030,0.9393939393939394,0.06060606060606061,33,瑞源
6050,0.5865384615384616,0.028846153846153848,104,關山
6060,1.0526315789473684,0.10526315789473684,19,海端
6070,0.851063829787234,0.0425531914893617,94,池上
6080,1.0,0.03333333333333333,60,富里
6090,0.9615384615384616,0.07692307692307693,26,東竹
6100,0.8928571428571429,0.03571428571428571,28,東里
6110,1.2131147540983607,0.05737704918032787,122,玉里
6120,0.56,0.04,25,三民
6130,1.1226415094339623,0.08490566037735849,106,瑞穗
6140,1.5714285714285714,0.11428571428571428,35,富源
6160,0.9431818181818182,0.056818181818181816,88,光復
6170,0.5,0.0,28,萬榮
6180,1.4210526315789473,0.039473684210526314,76,鳳林
6190,0.7391304347826086,0.043478260869565216,23,南平
6220,0.8918918918918919,0.02702702702702703,74,壽豐
