Date,TaiwanDate,TrainNo,MeanDelay,MaxDelay,ObservedStopCount_Actual,TrainType,Direction,TripLine,CoverageRate,ObservedStopCount,ScheduledStopCount,IsHoliday,HolidayType,Period,TerminalDelay,IsDelayed,IsDelayed_Research
2026-03-18,2026-03-18,1183,0.05,1.0,20,區間,1,0,0.7143,20,28,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1187,0.5555555555555556,7.0,27,區間,1,1,0.6923,27,39,0,平日,離峰,7.0,1,0
2026-03-18,2026-03-18,1188,0.07407407407407407,1.0,27,區間,0,1,0.6923,27,39,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1191,0.625,2.0,24,區間,1,0,0.75,24,32,0,平日,離峰,2.0,0,0
2026-03-18,2026-03-18,1192,0.8333333333333334,4.0,24,區間,0,0,0.75,24,32,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1194,0.35,2.0,20,區間,0,0,0.7143,20,28,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1197,2.4074074074074074,4.0,27,區間,1,1,0.6923,27,39,0,平日,離峰,4.0,0,1
2026-03-18,2026-03-18,1198,0.3333333333333333,1.0,27,區間,0,1,0.6923,27,39,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,120,0.18518518518518517,1.0,27,自強,0,2,1.0,27,27,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1201,0.0,0.0,24,區間,1,0,0.75,24,32,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1202,0.7916666666666666,3.0,24,區間,0,0,0.75,24,32,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1203,0.10526315789473684,1.0,19,區間,1,0,0.7037,19,27,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1207,0.8148148148148148,3.0,27,區間,1,1,0.6923,27,39,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,1208,0.5555555555555556,2.0,27,區間,0,1,0.6923,27,39,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,121,0.5416666666666666,2.0,24,自強,1,1,1.0,24,24,0,平日,離峰,0.0,0,0
